REGION_NAME     ,DIVISION_NAME   ,COUNCIL_NAME              ,POLLING_STATION                                  ,POLLING_STATIONS_COUNT
                ,                ,                          ,ECOLE PUBLIQUE MBIYOKA / A                       ,1
                ,                ,                          ,ECOLE PUBLIQUE MEIDJAMBA / A                     ,1
                ,                ,                          ,ECOLE PUBLIQUE MEIDJAMBA / B                     ,1
                ,                ,                          ,ECOLE PUBLIQUE MENGACK / A                       ,1
                ,                ,                          ,ECOLE PUBLIQUE MERE / A                          ,1
                ,                ,                          ,ECOLE PUBLIQUE MINDJANG / A                      ,1
                ,                ,                          ,ECOLE PUBLIQUE NASKOUL / A                       ,1
                ,                ,                          ,ECOLE PUBLIQUE NGATT / A                         ,1
                ,                ,                          ,ECOLE PUBLIQUE NGATT / B                         ,1
                ,                ,                          ,ECOLE PUBLIQUE NGATT / C                         ,1
                ,                ,                          ,ECOLE PUBLIQUE NGONGONTOUA / A                   ,1
                ,                ,                          ,ECOLE PUBLIQUE PANG / A                          ,1
                ,                ,                          ,ECOLE PUBLIQUE SISSIMI / A                       ,1
                ,                ,                          ,ECOLE PUBLIQUE TONGO / A                         ,1
                ,                ,                          ,ECOLE PUBLIQUE TONGO / B                         ,1
                ,                ,                          ,ECOLE PUBLIQUE WANDJOCK / A                      ,1
                ,                ,                          ,ESPL CHEFFERIE HOSSERE KOBA / A                  ,1
                ,                ,                          ,ESPL. CHEFFERIE BA'NANA / A                      ,1
                ,                ,                          ,ESPLANADE CHEFFERIE BA'NANA / A                  ,1
                ,                ,                          ,FOYER COMM DE MBI - MGBARANG / A                 ,1
                ,                ,                          ,MAIRIE TIBATI / A                                ,1
                ,                ,                          ,MAIRIE TIBATI / B                                ,1
                ,                ,                          ,MAIRIE TIBATI / C                                ,1
                ,                ,                          ,POSTE AGRICOLE MBELLA ASSOM / A                  ,1
                ,                ,                          ,SALLE COMMUNAUTAIRE MINIM / A                    ,1
                ,                ,                          ,SALLE COMMUNAUTAIRE MINIM / B                    ,1
                ,                ,                          ,SALLE COMMUNAUTAIRE MINIM / C                    ,1
                ,                ,                          ,SALLE DES FETES / A                              ,1
                ,FARO ET DEO     ,                          ,                                                 ,169
                ,                ,GALIM-TIGNERE             ,                                                 ,46
                ,                ,                          ,ASSAWE ECOLE PUBLIQUE / A                        ,1
                ,                ,                          ,ASSAWE ECOLE PUBLIQUE / B                        ,1
                ,                ,                          ,BONTADJE 1 ECOLE PUBLIQUE / A                    ,1
                ,                ,                          ,BONTADJE 2 ECOLE PUBLIQUE / A                    ,1
                ,                ,                          ,DJAMBOUTOU CASE COMMUNAUTAIRE / A                ,1
                ,                ,                          ,DJAMBOUTOU NASTIRDE ECOLE PUBLIQUE / A           ,1
                ,                ,                          ,DJEM-GALIM CENTRE ZOOTECHNIQUE VET. / A          ,1
                ,                ,                          ,DJEM-GALIM ECOLE PUBLIQUE / A                    ,1
                ,                ,                          ,GALIM-CENTRE ECOLE PUBLIQUE GROUPE I / A         ,1
                ,                ,                          ,GALIM-CENTRE ECOLE PUBLIQUE GROUPE I / B         ,1
                ,                ,                          ,GALIM-CENTRE ECOLE PUBLIQUE GROUPE I / C         ,1
                ,                ,                          ,GALIM-CENTRE ECOLE PUBLIQUE GROUPE II / A        ,1
                ,                ,                          ,GALIM-CENTRE ECOLE PUBLIQUE GROUPE II / B        ,1
                ,                ,                          ,GALIM-CENTRE ECOLE PUBLIQUE GROUPE II / C        ,1
                ,                ,                          ,GALIM-CENTRE ECOLE PUBLIQUE GROUPE III / A       ,1
                ,                ,                          ,GALIM-CENTRE ECOLE PUBLIQUE GROUPE III / B       ,1
                ,                ,                          ,GALIM-CENTRE ECOLE PUBLIQUE GROUPE III / C       ,1
                ,                ,                          ,GARBAYA HAMAN ECOLE PUBLIQUE / A                 ,1
                ,                ,                          ,GONKIRA ECOLE PUBLIQUE / A                       ,1
                ,                ,                          ,LEGGAL GORO ECOLE PUBLIQUE / A                   ,1
                ,                ,                          ,LEGGAL GORO ECOLE PUBLIQUE / B                   ,1
                ,                ,                          ,LEGGAL GORO ECOLE PUBLIQUE / C                   ,1
                ,                ,                          ,LOMPTA ECOLE PUBLIQUE / A                        ,1
                ,                ,                          ,LOMPTA ECOLE PUBLIQUE / B                        ,1
                ,                ,                          ,MAYO BELI CASE COMMUNAUTAIRE / A                 ,1
                ,                ,                          ,MAYO DANKALI ECOLE PUBLIQUE / A                  ,1
                ,                ,                          ,MAYO DANKALI ECOLE PUBLIQUE / B                  ,1
                ,                ,                          ,MAYO DANKALI ECOLE PUBLIQUE / C                  ,1
                ,                ,                          ,MAYO IWARE CASE COMMUNAUTAIRE / A                ,1
                ,                ,                          ,MAYO SANGNARE ECOLE PUBLIQUE / A                 ,1
                ,                ,                          ,MBABO ECOLE PUBLIQUE / A                         ,1
                ,                ,                          ,MBABO ECOLE PUBLIQUE / B                         ,1
                ,                ,                          ,MBERHI CASE COMMUNAUTAIRE / A                    ,1
                ,                ,                          ,MBOUDOUA ECOLE PUBLIQUE / A                      ,1
                ,                ,                          ,NGOURI BARI ECOLE PUBLIQUE / A                   ,1
                ,                ,                          ,NGOURI BARI ECOLE PUBLIQUE / B                   ,1
                ,                ,                          ,NGOURI HAMMAN KILA ECOLE PUBLIQUE / A            ,1
                ,                ,                          ,SABONGARI ECOLE DES PARENTS / A                  ,1
                ,                ,                          ,SANGNADJE CASE COMMUNAUTAIRE / A                 ,1
                ,                ,                          ,SINDERE CASE COMMUNAUTAIRE / A                   ,1
                ,                ,                          ,TAGOURI VIVRES ECOLE PUBLIQUE / A                ,1
                ,                ,                          ,TCHABBE KESSE ECOLE PUBLIQUE / A                 ,1
                ,                ,                          ,TONDE WANDOU CASE COMMUNAUTAIRE / A              ,1
                ,                ,                          ,WOGOMDOU CES / A                                 ,1
                ,                ,                          ,WOGOMDOU ECOLE PUBLIQUE / A                      ,1
                ,                ,                          ,WOGOMDOU ECOLE PUBLIQUE / B                      ,1
                ,                ,KONTCHA                   ,                                                 ,20
                ,                ,                          ,BOUDEL ECOLE CORANIQUE / A                       ,1
                ,                ,                          ,BOUDEL ECOLE CORANIQUE / B                       ,1
                ,                ,                          ,DAGOUM ECOLE PUBLIQUE / A                        ,1
                ,                ,                          ,DJOMBI ECOLE DES PARENTS / A                     ,1
                ,                ,                          ,DODEO ECOLE PUBLIQUE / A                         ,1
                ,                ,                          ,ECOLE CATHOLIQUE SALAMAN / A                     ,1
                ,                ,                          ,ECOLE PUBLIQUE CENTRE / A                        ,1
                ,                ,                          ,ECOLE PUBLIQUE CENTRE / B                        ,1
                ,                ,                          ,FADA ECOLE PUBLIQUE / A                          ,1
                ,                ,                          ,FOUNGOI ECOLE PUBLIQUE / A                       ,1
                ,                ,                          ,GADA-MAYO ECOLE PUBLIQUE / A                     ,1
                ,                ,                          ,GARLADJI ECOLE FRANCO-ARABE / A                  ,1
                ,                ,                          ,GARLADJI ECOLE FRANCO-ARABE / B                  ,1
                ,                ,                          ,INSPECTION EDUCATION DE BASE / A                 ,1
                ,                ,                          ,KODJOLI ECOLE DES PARENTS / A                    ,1
                ,                ,                          ,KOLOU ECOLE PUBLIQUE / A                         ,1
                ,                ,                          ,LOUGGA KOUMBI ECOLE DES PARENTS / A              ,1
                ,                ,                          ,MAYO-KOUTINE ECOLE PUBLIQUE / A                  ,1
                ,                ,                          ,MBOULADJI ECOLE PUBLIQUE / A                     ,1
                ,                ,                          ,WALDE KAE ECOLE DES PARENTS / A                  ,1
                ,                ,MAYO-BALEO                ,                                                 ,39
                ,                ,                          ,ALME ECOLE MATERNELLE PAIN DE VIE / A            ,1
                ,                ,                          ,ALME ECOLE MATERNELLE PAIN DE VIE / B            ,1
                ,                ,                          ,ALME SALLE COMMUNAUTAIRE MARCHE / A              ,1
                ,                ,                          ,ALME SALLE COMMUNAUTAIRE MARCHE / B              ,1
                ,                ,                          ,BECTI ECOLE PUBLIQUE / A                         ,1
                ,                ,                          ,BEUTI ECOLE DES PARENTS / A                      ,1
