COUNCIL_NAME,POLLING_STATION,inscrits,votants,votes,nuls,blancs,biya,garga,kamto,cabral,matomba,akere,ndam,ndifor,osih
Ngaoundal,,,,,,,,,,,,,,,
Ngaoundal,Centre Dinstruction Cpefan A,,,,,,,,,,,,,,
Yaounde I,Ecole Bilingue The Champions D,350,160,166,0,0,91,1,38,18,1,1,0,3,13
Yaounde I,Ecole Bilingue The Champions E,392,177,175,02,,98,00,50,14,01,00,00,01,11
Yaounde I,Ecole Bilingue The Champions F,370,166,165,3,2,87,0,53,21,0,2,0,1,1
Yaounde I,Ecole Bilingue The Champions G,385,158,157,01,00,70,02,51,21,00,01,00,03,09
Yaounde I,Ecole Franco Anglaise The Winners A,90,65,65,00,,59,00,02,02,00,00,00,01,01
Yaounde I,Ecole Mat Parc Repiquet A,384,162,162,0,0,77,1,61,13,0,0,1,0,7
Yaounde I,Ecole Mat Parc Repiquet B,387,155,154,1,0,62,3,68,14,1,1,0,0,5
Yaounde I,Ecole Publique Dolembe Ii B,410,216,216,0,2,88,3,104,10,0,1,4,1,3
Yaounde I,Ecole Publique Dolembe Ii C,416,198,198,00,00,73,00,106,10,00,00,02,00,07
Yaounde I,Ecole Publique Dolembe Ii D,402,200,198,02,,78,01,97,09,01,01,04,00,07
Yaounde I,Ecole Publique Dolembe Ii E,408,216,215,1,0,75,0,101,25,1,1,3,0,9
Yaounde I,Ecole Publique Dolembe Ii G,442,234,233,1,0,105,3,92,15,0,0,9,0,9
Yaounde I,Elig Edzoa Chapelle A,354,182,187,1,0,102,3,46,24,1,0,5,0,6
Yaounde I,Elig Edzoa Chapelle B,377,150,150,0,0,96,4,30,15,0,0,0,1,4
Yaounde I,Elig Edzoa Chapelle C,380,152,156,01,00,89,02,32,21,01,00,03,01,07
Yaounde I,Elig Edzoa Chapelle D,311,138,138,01,00,78,00,26,27,00,00,03,01,02
Yaounde I,Elite School A,407,214,211,1,2,115,0,66,16,2,0,1,0,11
Yaounde I,Elite School B,162,165,112,0,0,58,0,32,18,1,0,1,0,0
Yaounde I,Ep Privee Mvogo Mbida A,205,205,204,0,1,167,0,23,11,1,0,0,1,1
Yaounde I,Ep Privee Mvogo Mbida B,300,184,184,0,0,110,0,40,15,1,0,0,0,18
Yaounde I,Eta Major Armee De Terre A,317,191,191,1,0,150,1,19,17,0,0,0,1,2
Yaounde I,Etat Major Marine Nationale A,298,166,163,1,2,144,0,5,10,1,00,0,1,2
Yaounde I,Etat Major Marine Nationale B,154,127,127,0,0,117,2,4,2,0,0,0,2,0
Yaounde I,Etat Major Prc A,386,272,272,01,00,263,00,01,07,00,00,00,00,00
Yaounde I,Etat Major Prc B,372,238,238,03,00,228,00,03,04,00,00,00,00,00
Yaounde I,Etat Major Sapeurs Pompiers A,314,175,171,2,2,132,0,12,20,0,0,0,1,6
Yaounde I,Etoudi Marche A,430,215,214,01,00,141,00,61,01,01,01,04,01,04
Yaounde I,Etoudi Marche B,389,161,161,01,00,99,01,48,,07,00,00,01,04
Yaounde I,Etoudi Marche C,357,184,172,11,,113,00,44,05,01,01,05,03,00
Yaounde I,Etoudi Marche D,367,153,152,1,0,104,4,28,6,1,0,4,2,3
Yaounde I,Etoudi Mosquee B,402,146,146,03,03,83,19,11,26,00,00,01,01,03
Yaounde I,Etoudi Mosquee C,420,206,206,00,,118,25,22,30,01,01,02,00,05
Yaounde I,Fondation Deo Gracia A,393,233,232,01,00,155,01,44,24,02,00,01,00,05
Yaounde I,Fondation Deo Gracia B,372,195,194,1,0,119,1,57,14,0,0,1,1,1
Yaounde I,Fondation Deo Gracia C,343,177,185,5,5,112,8,42,13,0,0,0,3,2
Yaounde I,Fondation Main Douce A,470,259,259,02,00,157,00,62,30,00,00,00,00,08
Yaounde I,Fondation Tsoungui A,378,174,173,1,0,106,2,44,17,1,0,1,1,1
Yaounde I,Fondation Tsoungui C,363,166,166,04,00,86,01,61,12,00,0,01,01,04
Yaounde I,Fondation Tsoungui D,362,205,208,00,02,136,01,52,21,00,00,00,01,04
Yaounde I,Fondation Tsoungui E,366,219,219,02,00,122,02,75,12,02,01,01,00,02
Yaounde I,Fondation Tsoungui F,368,174,174,02,02,86,04,50,20,02,00,01,01,08
Yaounde I,Fondation Tsoungui G,392,187,184,3,0,74,1,70,25,1,0,2,2,9
Yaounde I,Fondation Tsoungui H,361,195,,03,01,82,02,73,23,02,00,03,02,05
Yaounde I,G S B Abomo Ewondo A,390,203,201,02,,129,01,47,17,00,00,00,01,05
Yaounde I,G S B Abomo Ewondo C,386,165,164,1,0,102,2,31,17,0,1,1,1,9
Yaounde I,G S B Pierres Precieuses A,337,154,151,03,00,89,07,32,18,00,00,00,01,04
Yaounde I,G S B Pierres Precieuses B,355,163,162,01,00,90,05,40,13,01,01,03,02,07
Yaounde I,G S B Pierres Precieuses C,325,189,189,00,00,70,05,43,14,01,00,00,01,15
Yaounde I,G S B Pierres Precieuses E,344,221,219,03,01,116,17,50,22,04,00,01,02,05
Yaounde I,G Scolaire Bilingue La Grace A,379,178,176,2,0,110,0,46,11,0,0,0,0,7
Yaounde I,G Scolaire Bilingue La Grace B,369,154,150,1,3,93,1,35,15,1,0,0,1,4
